category,company,n_reviews,median_stars,media_stars,std_stars
Legal Services & Government,www.minsterlaw.co.uk,100,3,3,1.421338109
Legal Services & Government,www.legacywills.co.uk,100,3,3,1.421338109
Media & Publishing,www.photobox.co.uk,100,3,3,1.421338109
Media & Publishing,www.snapfish.co.uk,100,3,3,1.421338109
Public & Local Services,anyjunk.co.uk,100,3,3,1.421338109
Money & Insurance,www.saga.co.uk,100,3,3,1.421338109
Money & Insurance,www.cashback.co.uk,100,3,3,1.421338109
Money & Insurance,www.firstdirect.com,100,3,3,1.421338109
Money & Insurance,www.hsbc.co.uk,100,3,3,1.421338109
Money & Insurance,www.monzo.com,100,3,3,1.421338109
Money & Insurance,www.openrent.co.uk,100,3,3,1.421338109
Money & Insurance,www.quidco.com,100,3,3,1.421338109
Money & Insurance,www.santander.co.uk,100,3,3,1.421338109
Media & Publishing,www.stringsdirect.co.uk,100,3,3,1.421338109
Money & Insurance,www.spareroom.co.uk,100,3,3,1.421338109
Money & Insurance,www.startlinemotorfinance.com,100,3,3,1.421338109
Money & Insurance,www.tescobank.com,100,3,3,1.421338109
Money & Insurance,www.theaa.com,100,3,3,1.421338109
Money & Insurance,www.unbiased.co.uk,100,3,3,1.421338109
Money & Insurance,zopa.com,100,3,3,1.421338109
Money & Insurance,www.aldermore.co.uk,100,3,3,1.421338109
Money & Insurance,wise.com,100,3,3,1.421338109
Money & Insurance,wirexapp.com,100,3,3,1.421338109
Money & Insurance,uk.virginmoney.com,100,3,3,1.421338109
Money & Insurance,tsb.co.uk,100,3,3,1.421338109
Money & Insurance,transfergo.com,100,3,3,1.421338109
Money & Insurance,tide.co,100,3,3,1.421338109
Money & Insurance,smallworldfs.com,100,3,3,1.421338109
Money & Insurance,saladmoney.co.uk,100,3,3,1.421338109
Money & Insurance,purplebricks.co.uk,100,3,3,1.421338109
Money & Insurance,kraken.com,100,3,3,1.421338109
Money & Insurance,getyourtaxreturned.co.uk,100,3,3,1.421338109
Money & Insurance,flatfair.co.uk,100,3,3,1.421338109
Money & Insurance,chase.co.uk,100,3,3,1.421338109
Money & Insurance,blockchain.com,100,3,3,1.421338109
Money & Insurance,airtimerewards.co.uk,100,3,3,1.421338109
Media & Publishing,www.whybuynew.co.uk,100,3,3,1.421338109
Shopping & Fashion,www.prodirectsport.com,100,3,3,1.421338109
Shopping & Fashion,www.tiso.com,100,3,3,1.421338109
Animals & Pets,jollyes.co.uk,100,3,3,1.421338109
Vehicles & Transportation,brompton.com,100,3,3,1.421338109
Utilities,www.thameswater.co.uk,100,3,3,1.421338109
Utilities,www.utilita.co.uk,100,3,3,1.421338109
Utilities,www.water-plus.co.uk,100,3,3,1.421338109
Utilities,www.wessexwater.co.uk,100,3,3,1.421338109
Utilities,yuenergy.co.uk,100,3,3,1.421338109
Vehicles & Transportation,1stchoice.co.uk,100,3,3,1.421338109
Vehicles & Transportation,etyres.co.uk,100,3,3,1.421338109
Vehicles & Transportation,revive-uk.com,100,3,3,1.421338109
Vehicles & Transportation,farmerautocare.com,100,3,3,1.421338109
Vehicles & Transportation,fixauto.com,100,3,3,1.421338109
Vehicles & Transportation,flixbus.co.uk,100,3,3,1.421338109
Vehicles & Transportation,haynes.com,100,3,3,1.421338109
Vehicles & Transportation,justpark.com,100,3,3,1.421338109
Vehicles & Transportation,paulscycles.co.uk,100,3,3,1.421338109
Utilities,www.stwater.co.uk,100,3,3,1.421338109
Utilities,www.scottishpower.co.uk,100,3,3,1.421338109
Utilities,www.robertheath.co.uk,100,3,3,1.421338109
Utilities,www.ovoenergy.com,100,3,3,1.421338109
Utilities,www.moneyexpert.com,100,3,3,1.421338109
Utilities,www.goodenergy.co.uk,100,3,3,1.421338109
Utilities,www.flogas.co.uk,100,3,3,1.421338109
Utilities,www.edfenergy.com,100,3,3,1.421338109
Utilities,www.ecotricity.co.uk,100,3,3,1.421338109
Utilities,www.cpsfuels.co.uk,100,3,3,1.421338109
Utilities,www.cooperativeenergy.coop,100,3,3,1.421338109
Utilities,www.calor.co.uk,100,3,3,1.421338109
Utilities,www.avantigas.com,100,3,3,1.421338109
Utilities,valdaenergy.com,100,3,3,1.421338109
Utilities,so.energy,100,3,3,1.421338109
Utilities,smartestenergy.com,100,3,3,1.421338109
Utilities,rubyenergy.uk,100,3,3,1.421338109
Vehicles & Transportation,pod-point.com,100,3,3,1.421338109
Vehicles & Transportation,sigmasports.com,100,3,3,1.421338109
Utilities,pozitive.energy,100,3,3,1.421338109
Vehicles & Transportation,www.poferries.com,100,3,3,1.421338109
Vehicles & Transportation,www.national.co.uk,100,3,3,1.421338109
Vehicles & Transportation,www.nationalexpress.com,100,3,3,1.421338109
Vehicles & Transportation,www.ohme-ev.com,100,3,3,1.421338109
Vehicles & Transportation,www.paddockspares.com,100,3,3,1.421338109
